dataset,K,np,iteracoes,sse_final,tempo_ms
dados_pequeno,4,1,3,SSEfinal,9965.693552
dados_pequeno,4,2,3,SSEfinal,9965.693552
dados_pequeno,4,4,3,SSEfinal,9965.693552
dados_pequeno,8,1,28,SSEfinal,7670.579466
dados_pequeno,8,2,28,SSEfinal,7670.579466
dados_pequeno,8,4,28,SSEfinal,7670.579466
dados_pequeno,16,1,42,SSEfinal,7526.956231
dados_pequeno,16,2,42,SSEfinal,7526.956231
dados_pequeno,16,4,42,SSEfinal,7526.956231
dados_medio,4,1,8,SSEfinal,3849788.417200
dados_medio,4,2,8,SSEfinal,3849788.417200
dados_medio,4,4,8,SSEfinal,3849788.417200
dados_medio,8,1,2,SSEfinal,100888.564918
dados_medio,8,2,2,SSEfinal,100888.564918
dados_medio,8,4,2,SSEfinal,100888.564918
dados_medio,16,1,23,SSEfinal,88346.314326
dados_medio,16,2,23,SSEfinal,88346.314326
dados_medio,16,4,23,SSEfinal,88346.314326
dados_grande,4,1,15,SSEfinal,138508884.669749
dados_grande,4,2,15,SSEfinal,138508884.669753
dados_grande,4,4,15,SSEfinal,138508884.669752
dados_grande,8,1,12,SSEfinal,60357532.448806
dados_grande,8,2,12,SSEfinal,60357532.448804
dados_grande,8,4,12,SSEfinal,60357532.448803
dados_grande,16,1,2,SSEfinal,998292.565856
dados_grande,16,2,2,SSEfinal,998292.565856
dados_grande,16,4,2,SSEfinal,998292.565856
